"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","connectance","fixed"
"1",16,0,2,0,6,0,0,0,1,0,0,0,10,14,0,1,25,0,28,14,0,0,6,0,5,0,0,15,1,14,114,29,5,2,1,12,0,19,3,0,0,38,23,51,0,25,3,1,0,0,0,0
"2",0,0,1,6,2,84,2,52,0,0,9,3,0,0,3,54,11,0,16,0,0,0,20,0,0,0,0,0,2,0,0,6,5,0,0,10,41,0,0,0,0,42,2,14,25,45,0,29,0,0,0,0
"3",31,7,0,33,19,2,22,9,21,15,1,0,1,2,13,1,7,0,3,10,2,1,15,58,0,21,9,0,0,3,24,10,0,0,35,1,2,2,1,4,1,0,0,0,34,0,32,21,1,10,0,0
"4",17,0,0,23,26,15,0,5,13,31,1,0,4,0,0,0,0,0,39,0,0,0,8,0,0,72,16,7,8,0,0,11,17,1,0,37,23,23,6,0,0,0,20,22,0,38,0,0,0,1,0,0
"5",0,0,0,3,48,0,3,0,17,3,18,2,5,6,23,1,0,14,2,0,4,6,0,12,0,0,70,24,10,9,31,38,10,17,0,0,12,21,0,6,0,2,56,0,1,5,0,0,1,4,0,0
"6",0,11,4,0,17,12,0,11,17,3,54,5,0,0,0,23,10,0,27,0,0,0,0,0,0,0,0,54,1,9,21,0,41,1,0,29,9,71,32,1,0,0,0,0,0,17,0,0,4,0,0,0
"7",0,5,11,33,3,3,0,0,0,0,10,4,1,1,12,0,2,0,9,0,0,0,55,3,16,15,1,7,4,6,6,0,0,0,0,0,91,0,14,0,48,1,13,38,8,0,63,1,0,0,0,0
"8",5,48,0,48,0,0,0,8,8,0,86,1,2,0,17,0,1,19,0,12,1,0,1,9,14,2,0,0,65,0,2,12,6,0,0,0,14,1,10,27,50,2,0,2,11,0,0,0,0,0,0,0
"9",17,0,0,0,9,0,0,1,17,12,2,134,0,0,2,96,2,0,0,0,22,0,37,0,0,0,0,34,0,0,2,0,1,0,45,2,4,1,9,1,0,17,0,3,0,4,0,0,0,10,0,0
"10",0,0,0,26,0,0,0,57,11,8,0,11,21,1,2,0,0,45,0,0,0,0,46,0,3,8,6,0,6,2,22,3,47,20,0,0,1,31,0,0,10,0,0,1,54,25,1,0,14,2,0,0
"11",0,0,15,2,23,13,33,11,10,0,0,4,0,0,1,40,22,0,1,0,14,0,0,1,0,3,16,1,97,0,0,0,1,0,9,0,12,60,6,0,18,0,1,29,0,20,0,10,4,7,0,0
"12",2,32,11,1,0,23,64,0,64,0,1,0,2,0,0,1,5,0,0,0,1,28,0,0,3,0,0,1,0,0,0,0,125,7,7,0,7,10,1,0,19,12,46,1,6,0,0,0,2,2,0,0
"13",13,12,0,43,0,4,7,10,0,0,8,3,0,0,1,2,22,0,38,0,1,1,0,0,8,85,11,5,2,0,0,1,0,0,88,0,0,0,5,0,17,0,7,7,0,7,26,4,46,0,0,0
"14",0,0,0,0,4,0,12,0,29,1,1,0,1,0,0,48,2,0,0,0,18,0,9,7,34,40,58,0,3,2,3,0,0,0,1,92,0,0,2,13,0,64,6,7,10,4,8,1,0,4,0,0
"15",0,0,0,0,0,127,0,0,1,2,42,0,0,1,21,32,108,0,0,0,3,13,0,15,0,0,2,0,3,0,25,0,0,1,11,3,15,0,0,2,0,13,0,0,3,0,11,15,15,0,0,0
"16",0,1,45,1,2,8,0,23,0,63,16,2,0,0,2,0,21,35,3,0,0,43,27,0,0,68,0,2,1,14,2,0,0,0,1,3,0,1,0,0,56,34,0,4,1,3,0,2,0,0,0,0
"17",0,1,156,1,0,1,0,5,0,0,0,4,25,21,3,5,4,5,1,1,0,18,0,0,4,1,1,4,0,0,0,1,7,1,39,30,0,0,21,33,15,0,2,2,1,2,55,0,13,1,0,0
"18",1,0,0,0,0,0,2,1,3,0,0,76,5,2,0,34,0,1,6,52,0,0,35,0,0,30,0,0,9,29,6,0,8,0,5,21,1,0,3,20,41,50,25,4,13,0,0,1,0,0,0,0
"19",0,0,43,0,0,0,66,3,0,5,0,3,41,0,0,23,0,0,0,46,6,0,3,90,3,23,5,1,1,19,0,15,0,13,8,0,0,0,1,2,0,0,46,0,15,0,0,3,0,0,0,0
"20",0,1,9,0,20,26,1,16,0,51,7,0,0,15,12,1,0,40,1,7,0,0,4,0,0,1,0,16,25,0,6,6,5,0,15,7,20,1,0,0,0,0,0,124,22,0,1,3,2,19,0,0
"21",0,0,0,1,26,14,93,0,23,6,3,1,0,30,1,0,2,0,5,0,2,67,2,0,4,4,0,10,1,0,26,0,10,0,0,10,0,0,32,0,0,2,18,0,30,37,5,10,4,5,0,0
"22",0,0,3,36,0,0,2,29,0,0,1,148,5,0,0,37,12,3,7,0,1,3,3,5,0,1,10,0,0,26,38,1,0,21,0,0,0,0,0,2,0,9,0,0,12,1,0,11,0,57,0,0
