sample.x	sample.y	jsd
B1-1	B1-1	0
B1-2	B1-1	0.0130314198231441
B1-3	B1-1	0.0163777159514574
B1-4	B1-1	0.103842449856946
B2-1	B1-1	0.00525012561342376
B2-2	B1-1	0.00525012561342375
B2-3	B1-1	0.0666777592454998
B2-4	B1-1	0.338642124068858
B3-1	B1-1	0.133538126285595
B3-2	B1-1	0.00440084287478478
B3-3	B1-1	0.0381942411041557
B3-4	B1-1	0.00578173707075513
C1	B1-1	0.350750658502332
C2	B1-1	0.343777921889394
C3	B1-1	0.383810162208945
F1	B1-1	0.0220432768304854
F2	B1-1	0.00581345996208175
F3	B1-1	0.0574956932101335
F4	B1-1	0.0260420520912369
G1	B1-1	0.298428440998615
H3	B1-1	0.314974958728774
B1-1	B1-2	0.0130314198231441
B1-2	B1-2	0
B1-3	B1-2	0.0272101015517725
B1-4	B1-2	0.0888805786395975
B2-1	B1-2	0.026142705190478
B2-2	B1-2	0.026142705190478
B2-3	B1-2	0.047765901875349
B2-4	B1-2	0.288202168195068
B3-1	B1-2	0.0823438005101547
B3-2	B1-2	0.0116335407575047
B3-3	B1-2	0.0134647321017265
B3-4	B1-2	0.0207430611446177
C1	B1-2	0.305012724306186
C2	B1-2	0.293293029304781
C3	B1-2	0.333586699823668
F1	B1-2	0.0187861369036686
F2	B1-2	0.0243379865073335
F3	B1-2	0.036960330971207
F4	B1-2	0.0339647331854443
G1	B1-2	0.228463818732363
H3	B1-2	0.256792297200592
B1-1	B1-3	0.0163777159514574
B1-2	B1-3	0.0272101015517725
B1-3	B1-3	0
B1-4	B1-3	0.0928441052945203
B2-1	B1-3	0.0169449386760298
B2-2	B1-3	0.0169449386760299
B2-3	B1-3	0.0471231575412057
B2-4	B1-3	0.32735928879277
B3-1	B1-3	0.130123163017227
B3-2	B1-3	0.0119454127738436
B3-3	B1-3	0.0380460065301774
B3-4	B1-3	0.012205843404866
C1	B1-3	0.339097554052541
C2	B1-3	0.332382389047041
C3	B1-3	0.372914173399319
F1	B1-3	0.0215794962152237
F2	B1-3	0.0168848946829991
F3	B1-3	0.0644013564998103
F4	B1-3	0.00178770079790358
G1	B1-3	0.297992854080825
H3	B1-3	0.321986446999738
B1-1	B1-4	0.103842449856946
B1-2	B1-4	0.0888805786395975
B1-3	B1-4	0.0928441052945203
B1-4	B1-4	0
B2-1	B1-4	0.119465636122919
B2-2	B1-4	0.119465636122919
B2-3	B1-4	0.0927575688427451
B2-4	B1-4	0.294368370918935
B3-1	B1-4	0.10736635603581
B3-2	B1-4	0.0991452640594418
B3-3	B1-4	0.0791076153442725
B3-4	B1-4	0.106571651054237
C1	B1-4	0.312024744594973
C2	B1-4	0.300243366978393
C3	B1-4	0.341106071663264
F1	B1-4	0.0917928892249744
F2	B1-4	0.115049639042446
F3	B1-4	0.0798299685569001
F4	B1-4	0.0889945880189994
G1	B1-4	0.233897964677176
H3	B1-4	0.255505337692805
B1-1	B2-1	0.00525012561342376
B1-2	B2-1	0.026142705190478
B1-3	B2-1	0.0169449386760298
B1-4	B2-1	0.119465636122919
B2-1	B2-1	0
B2-2	B2-1	9.07192830739649e-17
B2-3	B2-1	0.0762024957573483
B2-4	B2-1	0.353092769134403
B3-1	B2-1	0.156977826485478
B3-2	B2-1	0.00951746234751506
B3-3	B2-1	0.0533615953817391
B3-4	B2-1	0.00431200533943587
C1	B2-1	0.363919953799844
C2	B2-1	0.357934950842686
C3	B2-1	0.395876666018483
F1	B2-1	0.0274686566018608
F2	B2-1	0.0018810316916993
F3	B2-1	0.0745887682101322
F4	B2-1	0.027684051132557
G1	B2-1	0.325556699790523
H3	B2-1	0.349625261620749
B1-1	B2-2	0.00525012561342375
B1-2	B2-2	0.026142705190478
B1-3	B2-2	0.0169449386760299
B1-4	B2-2	0.119465636122919
B2-1	B2-2	9.07192830739649e-17
B2-2	B2-2	0
B2-3	B2-2	0.0762024957573483
B2-4	B2-2	0.353092769134403
B3-1	B2-2	0.156977826485478
B3-2	B2-2	0.00951746234751509
B3-3	B2-2	0.0533615953817391
B3-4	B2-2	0.00431200533943588
C1	B2-2	0.363919953799844
C2	B2-2	0.357934950842686
C3	B2-2	0.395876666018483
F1	B2-2	0.0274686566018607
F2	B2-2	0.0018810316916993
F3	B2-2	0.0745887682101322
F4	B2-2	0.027684051132557
G1	B2-2	0.325556699790523
H3	B2-2	0.349625261620749
B1-1	B2-3	0.0666777592454998
B1-2	B2-3	0.047765901875349
B1-3	B2-3	0.0471231575412057
B1-4	B2-3	0.0927575688427451
B2-1	B2-3	0.0762024957573483
B2-2	B2-3	0.0762024957573483
B2-3	B2-3	0
B2-4	B2-3	0.168404297433434
B3-1	B2-3	0.0991762275929942
B3-2	B2-3	0.0529230094383163
B3-3	B2-3	0.0444461698380024
B3-4	B2-3	0.0607856595597483
C1	B2-3	0.175724296984218
C2	B2-3	0.173518548527583
C3	B2-3	0.241069141534087
F1	B2-3	0.0358347936008722
F2	B2-3	0.0713634060126087
F3	B2-3	0.050897140225322
F4	B2-3	0.0434851375409155
G1	B2-3	0.242993468932416
H3	B2-3	0.27547315902779
B1-1	B2-4	0.338642124068858
B1-2	B2-4	0.288202168195068
B1-3	B2-4	0.32735928879277
B1-4	B2-4	0.294368370918935
B2-1	B2-4	0.353092769134403
B2-2	B2-4	0.353092769134403
