point	vertex
ERR1464419	23
ERR1464419	24
ERR1464419	25
ERR1464419	51
ERR1464419	52
ERR1464419	53
ERR1464419	122
ERR1464419	123
ERR1464419	125
ERR1464420	306
ERR1464420	307
ERR1464420	308
ERR1464420	309
ERR1464420	327
ERR1464420	328
ERR1464420	329
ERR1464420	330
ERR1464420	351
ERR1464420	352
ERR1464420	353
ERR1464420	354
ERR1464421	206
ERR1464421	208
ERR1464421	274
ERR1464421	275
ERR1464421	306
ERR1464421	307
ERR1464422	274
ERR1464422	275
ERR1464422	276
ERR1464422	278
ERR1464422	306
ERR1464422	307
ERR1464422	308
ERR1464422	309
ERR1464422	327
ERR1464422	328
ERR1464422	329
ERR1464422	330
ERR1464422	351
ERR1464422	352
ERR1464422	353
ERR1464422	354
ERR1464423	413
ERR1464423	414
ERR1464423	416
ERR1464423	440
ERR1464423	441
ERR1464423	442
ERR1464423	470
ERR1464423	471
ERR1464423	472
ERR1464424	1
ERR1464424	2
ERR1464424	4
ERR1464425	2
ERR1464425	4
ERR1464425	5
ERR1464425	33
ERR1464425	36
ERR1464425	40
ERR1464426	176
ERR1464426	198
ERR1464426	200
ERR1464426	263
ERR1464426	265
ERR1464426	267
ERR1464426	299
ERR1464426	300
ERR1464426	301
ERR1464427	470
ERR1464427	471
ERR1464427	472
ERR1464427	473
ERR1464427	494
ERR1464427	495
ERR1464427	496
ERR1464427	500
ERR1464427	516
ERR1464427	517
ERR1464427	518
ERR1464427	520
ERR1464428	471
ERR1464428	472
ERR1464428	473
ERR1464428	495
ERR1464428	496
ERR1464428	500
ERR1464428	517
ERR1464428	518
ERR1464428	520
ERR1464429	440
ERR1464429	441
ERR1464429	442
ERR1464429	444
ERR1464429	470
ERR1464429	471
ERR1464429	472
ERR1464429	473
ERR1464429	494
ERR1464429	495
ERR1464429	496
ERR1464429	500
ERR1464430	59
ERR1464430	61
ERR1464430	133
ERR1464430	135
ERR1464430	206
ERR1464430	208
ERR1464431	20
ERR1464431	21
ERR1464431	22
ERR1464432	501
ERR1464432	502
ERR1464432	503
ERR1464432	521
ERR1464432	522
ERR1464432	523
ERR1464433	522
ERR1464433	523
ERR1464433	524
ERR1464434	502
ERR1464434	503
ERR1464434	507
ERR1464434	522
ERR1464434	523
ERR1464434	524
ERR1464435	387
ERR1464435	388
ERR1464435	390
ERR1464435	421
ERR1464435	423
ERR1464435	424
ERR1464435	446
ERR1464435	449
ERR1464435	452
ERR1464436	473
ERR1464436	475
ERR1464436	476
ERR1464436	500
ERR1464436	501
ERR1464436	502
ERR1464436	520
ERR1464436	521
ERR1464436	522
ERR1464437	500
ERR1464437	501
ERR1464437	502
ERR1464437	520
ERR1464437	521
ERR1464437	522
ERR1464438	475
ERR1464438	476
ERR1464438	477
ERR1464438	501
ERR1464438	502
ERR1464438	503
ERR1464438	521
ERR1464438	522
ERR1464438	523
ERR1464439	496
ERR1464439	500
ERR1464439	501
ERR1464439	502
ERR1464439	518
ERR1464439	520
ERR1464439	521
ERR1464439	522
ERR1464440	351
ERR1464440	352
ERR1464440	353
ERR1464440	379
ERR1464440	380
ERR1464440	381
ERR1464440	402
ERR1464440	413
ERR1464440	414
ERR1464441	379
ERR1464441	380
ERR1464441	381
ERR1464441	383
ERR1464441	403
ERR1464441	413
ERR1464441	414
ERR1464441	416
ERR1464441	435
ERR1464441	440
ERR1464441	441
ERR1464441	442
ERR1464442	502
ERR1464442	503
ERR1464442	507
ERR1464442	522
ERR1464442	523
ERR1464442	524
ERR1464443	501
ERR1464443	502
ERR1464443	503
ERR1464443	521
ERR1464443	522
ERR1464443	523
ERR1464444	521
ERR1464444	522
ERR1464444	523
ERR1464444	524
ERR1464445	479
ERR1464445	480
ERR1464445	481
ERR1464445	507
ERR1464445	508
ERR1464445	509
ERR1464445	524
ERR1464445	525
ERR1464445	526
ERR1464446	133
ERR1464446	135
ERR1464446	206
ERR1464446	208
ERR1464446	274
ERR1464446	275
ERR1464446	306
ERR1464446	307
ERR1464447	133
ERR1464447	135
ERR1464447	206
ERR1464447	208
ERR1464447	274
ERR1464447	275
ERR1464447	306
ERR1464447	307
ERR1464448	370
ERR1464448	371
ERR1464448	372
ERR1464448	391
ERR1464448	393
ERR1464448	395
ERR1464448	424
ERR1464448	426
ERR1464448	428
ERR1464448	452
ERR1464448	455
ERR1464448	457
ERR1464449	133
ERR1464449	135
ERR1464449	137
ERR1464449	206
ERR1464449	208
ERR1464449	210
ERR1464449	274
ERR1464449	275
ERR1464449	276
ERR1464449	306
ERR1464449	307
ERR1464449	308
ERR1464450	49
ERR1464450	50
ERR1464450	51
ERR1464450	52
ERR1464450	93
ERR1464450	107
ERR1464450	122
ERR1464450	123
ERR1464450	161
ERR1464450	174
ERR1464450	177
ERR1464450	198
ERR1464451	206
ERR1464451	208
ERR1464451	210
ERR1464451	274
ERR1464451	275
ERR1464451	276
ERR1464451	306
ERR1464451	307
ERR1464451	308
ERR1464452	59
ERR1464452	61
ERR1464452	133
ERR1464452	135
ERR1464452	206
ERR1464452	208
ERR1464453	20
ERR1464453	21
ERR1464453	22
ERR1464453	23
ERR1464453	48
ERR1464453	49
ERR1464453	50
ERR1464453	51
ERR1464453	80
ERR1464453	93
ERR1464453	107
ERR1464453	122
ERR1464453	150
ERR1464453	161
ERR1464453	174
ERR1464453	177
ERR1464454	518
ERR1464454	520
ERR1464454	521
ERR1464454	522
ERR1464455	381
ERR1464455	383
ERR1464455	385
ERR1464455	387
ERR1464455	414
ERR1464455	416
ERR1464455	419
ERR1464455	422
ERR1464455	441
ERR1464455	442
ERR1464455	444
ERR1464455	447
ERR1464456	520
ERR1464456	521
ERR1464456	522
ERR1464457	502
ERR1464457	503
ERR1464457	507
ERR1464457	522
ERR1464457	523
ERR1464457	524
ERR1464458	501
ERR1464458	502
ERR1464458	503
ERR1464458	507
ERR1464458	521
ERR1464458	522
ERR1464458	523
ERR1464458	524
ERR1464459	20
ERR1464459	21
ERR1464459	22
ERR1464460	6
ERR1464460	11
ERR1464460	20
ERR1464461	517
ERR1464461	518
ERR1464461	520
ERR1464461	521
ERR1464462	520
ERR1464462	521
ERR1464462	522
ERR1464463	521
ERR1464463	522
ERR1464463	523
ERR1464464	517
ERR1464464	518
ERR1464464	520
ERR1464464	521
ERR1464465	520
ERR1464465	521
ERR1464465	522
ERR1464466	496
ERR1464466	500
ERR1464466	501
ERR1464466	518
ERR1464466	520
ERR1464466	521
ERR1464467	206
ERR1464467	208
ERR1464467	274
ERR1464467	275
ERR1464467	306
ERR1464467	307
ERR1464467	327
ERR1464467	328
ERR1464468	59
ERR1464468	61
ERR1464468	133
ERR1464468	135
ERR1464468	206
ERR1464468	208
ERR1464468	274
ERR1464468	275
ERR1464469	517
ERR1464469	518
ERR1464469	520
ERR1464469	521
ERR1464470	59
ERR1464470	61
ERR1464470	133
ERR1464470	135
ERR1464470	206
ERR1464470	208
ERR1464470	274
ERR1464470	275
ERR1464471	520
ERR1464471	521
ERR1464471	522
ERR1464472	300
ERR1464472	301
ERR1464472	302
ERR1464472	321
ERR1464472	322
ERR1464472	323
ERR1464472	345
ERR1464472	346
ERR1464472	347
ERR1464473	31
ERR1464473	34
ERR1464473	37
ERR1464473	60
ERR1464473	62
ERR1464473	64
ERR1464473	134
ERR1464473	136
ERR1464473	138
ERR1464474	306
ERR1464474	307
ERR1464474	308
ERR1464474	327
ERR1464474	328
ERR1464474	329
ERR1464474	351
ERR1464474	352
ERR1464474	353
ERR1464474	379
ERR1464474	380
ERR1464474	381
ERR1464475	353
ERR1464475	354
ERR1464475	356
ERR1464475	381
ERR1464475	383
ERR1464475	385
ERR1464475	414
ERR1464475	416
ERR1464475	419
ERR1464476	500
ERR1464476	501
ERR1464476	502
ERR1464476	503
ERR1464476	520
ERR1464476	521
ERR1464476	522
ERR1464476	523
ERR1464477	500
ERR1464477	501
ERR1464477	502
ERR1464477	520
ERR1464477	521
ERR1464477	522
ERR1464478	520
ERR1464478	521
ERR1464478	522
ERR1464478	523
ERR1464479	500
ERR1464479	501
ERR1464479	502
ERR1464479	520
ERR1464479	521
ERR1464479	522
ERR1464480	521
ERR1464480	522
ERR1464480	523
ERR1464481	430
ERR1464481	431
ERR1464481	432
ERR1464481	459
ERR1464481	460
ERR1464481	461
ERR1464481	481
ERR1464481	482
ERR1464481	483
ERR1464482	457
ERR1464482	459
ERR1464482	460
ERR1464482	461
ERR1464482	480
ERR1464482	481
ERR1464482	482
ERR1464482	483
ERR1464482	508
ERR1464482	509
ERR1464482	510
ERR1464482	511
ERR1464482	525
ERR1464482	526
ERR1464482	527
ERR1464482	529
ERR1464483	377
ERR1464483	378
ERR1464483	400
ERR1464483	401
ERR1464483	433
ERR1464483	434
ERR1464484	399
ERR1464484	400
ERR1464484	401
ERR1464484	432
ERR1464484	433
ERR1464484	434
ERR1464484	461
ERR1464484	462
ERR1464484	464
ERR1464485	344
ERR1464485	345
ERR1464485	346
ERR1464485	347
ERR1464485	371
ERR1464485	372
ERR1464485	373
ERR1464485	375
ERR1464485	393
ERR1464485	395
ERR1464485	397
ERR1464485	398
ERR1464485	426
ERR1464485	428
ERR1464485	430
ERR1464485	431
ERR1464486	352
ERR1464486	353
ERR1464486	354
ERR1464486	380
ERR1464486	381
ERR1464486	383
ERR1464486	413
ERR1464486	414
ERR1464486	416
ERR1464487	327
ERR1464487	328
ERR1464487	329
ERR1464487	351
ERR1464487	352
ERR1464487	353
ERR1464487	379
ERR1464487	380
ERR1464487	381
ERR1464488	306
ERR1464488	307
ERR1464488	308
ERR1464488	327
ERR1464488	328
ERR1464488	329
ERR1464488	351
ERR1464488	352
ERR1464488	353
ERR1464489	444
ERR1464489	447
ERR1464489	450
ERR1464489	473
ERR1464489	475
ERR1464489	476
ERR1464489	500
ERR1464489	501
ERR1464489	502
ERR1464489	520
ERR1464489	521
ERR1464489	522
ERR1464490	470
ERR1464490	471
ERR1464490	472
ERR1464490	494
ERR1464490	495
ERR1464490	496
ERR1464490	516
ERR1464490	517
ERR1464490	518
ERR1464491	517
ERR1464491	518
ERR1464491	520
ERR1464491	521
ERR1464492	162
ERR1464492	174
ERR1464492	178
ERR1464492	236
ERR1464492	248
ERR1464492	263
ERR1464492	293
ERR1464492	297
ERR1464492	299
ERR1464492	317
ERR1464492	319
ERR1464492	320
ERR1464493	306
ERR1464493	307
ERR1464493	308
ERR1464493	327
ERR1464493	328
ERR1464493	329
ERR1464493	351
ERR1464493	352
ERR1464493	353
ERR1464494	23
ERR1464494	24
ERR1464494	25
ERR1464494	51
ERR1464494	52
ERR1464494	53
ERR1464494	122
ERR1464494	123
ERR1464494	125
ERR1464495	517
ERR1464495	518
ERR1464495	520
ERR1464495	521
ERR1464496	341
ERR1464496	343
ERR1464496	344
ERR1464496	367
ERR1464496	370
ERR1464496	371
ERR1464496	389
ERR1464496	391
ERR1464496	393
ERR1464496	423
ERR1464496	424
ERR1464496	426
ERR1464497	520
ERR1464497	521
ERR1464497	522
ERR1464498	301
ERR1464498	302
ERR1464498	303
ERR1464498	322
ERR1464498	323
ERR1464498	324
ERR1464498	346
ERR1464498	347
ERR1464498	348
ERR1464499	518
ERR1464499	520
ERR1464499	521
