"name"	"membership"	"in.singleton"	"vertex"	"mean.knn"	"f.state"	"mean.t"	"size"	"scaled.knn"	"is.extremum"	"basin"
"v1"	1	FALSE	1	0.19157253753342	0.492753623188406	1.92753623188406	69	0.00277641358744087	TRUE	1
"v2"	1	FALSE	2	0.204353718593613	0.5625	3.125	16	0.0127721074121008	FALSE	1
"v3"	1	FALSE	3	0.300800777162803	0	0	1	0.300800777162803	FALSE	1
"v4"	1	FALSE	4	0.233517403824574	1	2.18181818181818	11	0.0212288548931431	FALSE	1
"v5"	1	FALSE	5	0.265413592410256	1	5	1	0.265413592410256	FALSE	1
"v6"	1	FALSE	6	0.24820481032908	0.833333333333333	3.66666666666667	6	0.04136746838818	FALSE	NA
"v7"	1	FALSE	7	0.258887240229308	1	7	1	0.258887240229308	FALSE	2
"v8"	1	FALSE	8	0.245730771273907	1	3.33333333333333	3	0.0819102570913023	FALSE	NA
"v9"	1	FALSE	9	0.311010547109041	1	0	1	0.311010547109041	FALSE	2
"v10"	1	FALSE	10	0.225528255306708	0	6	1	0.225528255306708	FALSE	2
"v11"	1	FALSE	11	0.24820481032908	0.833333333333333	3.66666666666667	6	0.04136746838818	FALSE	NA
"v12"	1	FALSE	12	0.278385633298374	1	10	1	0.278385633298374	FALSE	2
"v13"	1	FALSE	13	0.258887240229308	1	7	1	0.258887240229308	FALSE	2
"v14"	1	FALSE	14	0.209815054294219	1	2	1	0.209815054294219	FALSE	2
"v15"	1	FALSE	15	0.210665538255122	1	5	1	0.210665538255122	FALSE	2
"v16"	1	FALSE	16	0.242713750727951	1	3.75	4	0.0606784376819878	FALSE	NA
"v17"	1	FALSE	17	0.311010547109041	1	0	1	0.311010547109041	FALSE	2
"v18"	1	FALSE	18	0.268526115099076	1	2	1	0.268526115099076	FALSE	2
"v19"	1	FALSE	19	0.220027902562951	0.5	14	2	0.110013951281475	FALSE	2
"v20"	1	FALSE	20	0.238246231921339	0.72	6.12	25	0.00952984927685357	FALSE	2
"v21"	1	FALSE	21	0.223034764179139	0.655172413793103	8	29	0.0076908539372117	FALSE	2
"v22"	1	FALSE	22	0.213579772318782	0.685714285714286	7.17142857142857	35	0.00610227920910805	TRUE	2
"v23"	1	FALSE	23	0.208078449624667	0.676470588235294	7.41176470588235	34	0.00611995440072549	FALSE	2
"v24"	1	FALSE	24	0.203431788309438	0.733333333333333	7.9	30	0.00678105961031461	FALSE	2
"v25"	1	FALSE	25	0.198198841081802	0.619047619047619	9.95238095238095	21	0.00943804005151438	FALSE	2
"v26"	1	FALSE	26	0.193101811922509	0.526315789473684	13	19	0.0101632532590794	FALSE	6
"v27"	1	FALSE	27	0.24918111179684	1	12	1	0.24918111179684	FALSE	6
"v28"	1	FALSE	28	0.193689232823467	0.5	13.3125	16	0.0121055770514667	FALSE	6
"v29"	1	FALSE	29	0.195857797598459	0.619047619047619	13.1428571428571	21	0.00932656179040281	FALSE	6
"v30"	1	FALSE	30	0.200458441943136	0.8	12.5714285714286	35	0.00572738405551818	FALSE	6
"v31"	2	FALSE	31	0.338309941724676	0.5	0	2	0.169154970862338	TRUE	3
"v32"	1	FALSE	32	0.197576126323078	0.396551724137931	2.6551724137931	58	0.0034064849366048	FALSE	1
"v33"	1	FALSE	33	0.206857099421485	0.428571428571429	3.38095238095238	21	0.00985033806768977	FALSE	1
"v34"	2	FALSE	34	0.338309941724676	0.5	0	2	0.169154970862338	TRUE	3
"v35"	1	FALSE	35	0.300800777162803	0	0	1	0.300800777162803	FALSE	1
"v36"	1	FALSE	36	0.265413592410256	1	5	1	0.265413592410256	FALSE	1
"v37"	2	FALSE	37	0.338309941724676	0.5	0	2	0.169154970862338	TRUE	3
"v38"	1	FALSE	38	0.217485493844717	1	4	1	0.217485493844717	FALSE	1
"v39"	1	FALSE	39	0.220973744097307	0	0	1	0.220973744097307	FALSE	NA
"v40"	1	FALSE	40	0.265413592410256	1	5	1	0.265413592410256	FALSE	1
"v41"	1	FALSE	41	0.232620237427455	0	9	2	0.116310118713727	FALSE	2
"v42"	1	FALSE	42	0.276875802570231	1	6.5	2	0.138437901285116	FALSE	2
"v43"	1	FALSE	43	0.209815054294219	1	2	1	0.209815054294219	FALSE	2
"v44"	1	FALSE	44	0.210665538255122	1	5	1	0.210665538255122	FALSE	2
"v45"	1	FALSE	45	0.268526115099076	1	2	1	0.268526115099076	FALSE	2
"v46"	1	FALSE	46	0.220027902562951	0.5	14	2	0.110013951281475	FALSE	2
"v47"	1	FALSE	47	0.239712219548202	0	12	1	0.239712219548202	FALSE	2
"v48"	1	FALSE	48	0.228475277816915	0.625	8.25	16	0.0142797048635572	FALSE	2
"v49"	1	FALSE	49	0.22104149924968	0.608695652173913	9.17391304347826	23	0.00961049996737737	FALSE	2
"v50"	1	FALSE	50	0.21058850560971	0.666666666666667	8.66666666666667	27	0.00779957428184109	FALSE	2
"v51"	1	FALSE	51	0.207494308259202	0.689655172413793	8.48275862068966	29	0.00715497614686905	FALSE	2
"v52"	1	FALSE	52	0.202786181497232	0.714285714285714	9.10714285714286	28	0.00724236362490113	FALSE	2
