point	vertex
ERZ651938	573
ERZ651938	574
ERZ651938	576
ERZ651939	213
ERZ651939	238
ERZ651939	265
ERZ651939	295
ERZ651940	4
ERZ651940	5
ERZ651940	44
ERZ651942	1
ERZ651942	3
ERZ651942	4
ERZ651942	96
ERZ651942	98
ERZ651942	99
ERZ651942	166
ERZ651942	168
ERZ651942	169
ERZ651943	470
ERZ651943	471
ERZ651943	500
ERZ651943	501
ERZ651943	539
ERZ651943	540
ERZ651944	3
ERZ651944	4
ERZ651944	6
ERZ651944	45
ERZ651945	255
ERZ651945	259
ERZ651945	262
ERZ651945	263
ERZ651945	287
ERZ651945	289
ERZ651945	291
ERZ651945	292
ERZ651945	315
ERZ651945	317
ERZ651945	319
ERZ651945	326
ERZ651945	355
ERZ651945	357
ERZ651945	359
ERZ651945	360
ERZ651946	213
ERZ651946	238
ERZ651946	265
ERZ651947	470
ERZ651947	471
ERZ651947	500
ERZ651947	501
ERZ651947	539
ERZ651947	540
ERZ651948	163
ERZ651948	165
ERZ651948	211
ERZ651948	213
ERZ651948	237
ERZ651948	238
ERZ651949	433
ERZ651949	435
ERZ651949	436
ERZ651949	460
ERZ651949	462
ERZ651949	463
ERZ651949	486
ERZ651949	488
ERZ651949	493
ERZ651950	364
ERZ651950	365
ERZ651950	370
ERZ651950	399
ERZ651950	400
ERZ651950	406
ERZ651950	442
ERZ651950	443
ERZ651950	444
ERZ651951	500
ERZ651951	501
ERZ651951	539
ERZ651951	540
ERZ651951	568
ERZ651951	569
ERZ651952	1
ERZ651952	3
ERZ651952	4
ERZ651953	237
ERZ651953	238
ERZ651953	264
ERZ651953	265
ERZ651953	293
ERZ651953	295
ERZ651954	456
ERZ651954	458
ERZ651954	459
ERZ651954	481
ERZ651954	483
ERZ651954	484
ERZ651954	511
ERZ651954	513
ERZ651954	515
ERZ651955	355
ERZ651955	357
ERZ651955	359
ERZ651955	387
ERZ651955	389
ERZ651955	391
ERZ651955	429
ERZ651955	431
ERZ651955	433
ERZ651955	458
ERZ651955	459
ERZ651955	460
ERZ651956	1
ERZ651956	3
ERZ651957	237
ERZ651957	238
ERZ651957	264
ERZ651957	265
ERZ651957	293
ERZ651957	295
ERZ651957	327
ERZ651957	328
ERZ651958	46
ERZ651958	78
ERZ651958	79
ERZ651959	431
ERZ651959	433
ERZ651959	435
ERZ651959	459
ERZ651959	460
ERZ651959	462
ERZ651959	484
ERZ651959	486
ERZ651959	488
ERZ651960	433
ERZ651960	435
ERZ651960	436
ERZ651960	460
ERZ651960	462
ERZ651960	463
ERZ651960	486
ERZ651960	488
ERZ651960	493
ERZ651960	516
ERZ651960	524
ERZ651960	532
ERZ651961	424
ERZ651961	426
ERZ651961	429
ERZ651961	431
ERZ651961	454
ERZ651961	456
ERZ651961	458
ERZ651961	459
ERZ651961	479
ERZ651961	481
ERZ651961	483
ERZ651961	484
ERZ651962	477
ERZ651962	479
ERZ651962	481
ERZ651962	483
ERZ651962	507
ERZ651962	510
ERZ651962	511
ERZ651962	513
ERZ651962	545
ERZ651962	547
ERZ651962	548
ERZ651962	549
ERZ651963	317
ERZ651963	319
ERZ651963	326
ERZ651963	357
ERZ651963	359
ERZ651963	360
ERZ651963	389
ERZ651963	391
ERZ651963	392
ERZ651963	431
ERZ651963	433
ERZ651963	435
ERZ651964	474
ERZ651964	475
ERZ651964	476
ERZ651964	503
ERZ651964	504
ERZ651964	505
ERZ651964	542
ERZ651964	543
ERZ651964	544
ERZ651965	239
ERZ651965	240
ERZ651965	266
ERZ651965	267
ERZ651965	297
ERZ651965	299
ERZ651966	155
ERZ651966	156
ERZ651966	157
ERZ651966	203
ERZ651966	204
ERZ651966	206
ERZ651966	230
ERZ651966	231
ERZ651966	233
ERZ651967	568
ERZ651967	569
ERZ651967	570
ERZ651967	571
ERZ651968	544
ERZ651968	545
ERZ651968	547
ERZ651968	573
ERZ651968	574
ERZ651968	576
ERZ651969	1
ERZ651970	78
ERZ651970	79
ERZ651970	80
ERZ651970	81
ERZ651971	350
ERZ651971	353
ERZ651971	355
ERZ651971	382
ERZ651971	386
ERZ651971	387
ERZ651971	424
ERZ651971	426
ERZ651971	429
ERZ651972	359
ERZ651972	360
ERZ651972	361
ERZ651972	362
ERZ651972	391
ERZ651972	392
ERZ651972	394
ERZ651972	396
ERZ651972	433
ERZ651972	435
ERZ651972	436
ERZ651972	439
ERZ651973	166
ERZ651973	168
ERZ651973	169
ERZ651973	214
ERZ651973	215
ERZ651973	216
ERZ651973	239
ERZ651973	240
ERZ651973	241
ERZ651973	266
ERZ651973	267
ERZ651973	269
ERZ651974	477
ERZ651974	479
ERZ651974	481
ERZ651974	507
ERZ651974	510
ERZ651974	511
ERZ651974	545
ERZ651974	547
ERZ651974	548
ERZ651974	574
ERZ651974	576
ERZ651974	577
ERZ651975	429
ERZ651975	431
ERZ651975	433
ERZ651975	435
ERZ651975	458
ERZ651975	459
ERZ651975	460
ERZ651975	462
ERZ651975	483
ERZ651975	484
ERZ651975	486
ERZ651975	488
ERZ651976	82
ERZ651976	83
ERZ651976	86
ERZ651976	156
ERZ651976	157
ERZ651976	160
ERZ651977	572
ERZ651977	573
ERZ651977	574
ERZ651978	267
ERZ651978	269
ERZ651978	270
ERZ651978	271
ERZ651978	299
ERZ651978	301
ERZ651978	302
ERZ651978	303
ERZ651978	334
ERZ651978	336
ERZ651978	337
ERZ651978	342
ERZ651979	359
ERZ651979	360
ERZ651979	361
ERZ651979	362
ERZ651979	391
ERZ651979	392
ERZ651979	394
ERZ651979	396
ERZ651979	433
ERZ651979	435
ERZ651979	436
ERZ651979	439
ERZ651979	460
ERZ651979	462
ERZ651979	463
ERZ651979	466
ERZ651980	262
ERZ651980	263
ERZ651980	264
ERZ651980	291
ERZ651980	292
ERZ651980	293
ERZ651980	319
ERZ651980	326
ERZ651980	327
ERZ651981	1
ERZ651981	3
ERZ651981	96
ERZ651981	98
ERZ651982	264
ERZ651982	265
ERZ651982	293
ERZ651982	295
ERZ651982	327
ERZ651982	328
ERZ651983	540
ERZ651983	541
ERZ651983	542
ERZ651983	569
ERZ651983	570
ERZ651983	571
ERZ651984	4
ERZ651984	7
ERZ651984	47
ERZ651984	99
ERZ651984	100
ERZ651984	127
ERZ651984	169
ERZ651984	171
ERZ651984	187
ERZ651985	82
ERZ651985	83
ERZ651985	86
ERZ651985	89
ERZ651986	237
ERZ651986	238
ERZ651986	264
ERZ651986	265
ERZ651986	293
ERZ651986	295
ERZ651986	327
ERZ651986	328
ERZ651987	264
ERZ651987	265
ERZ651987	293
ERZ651987	295
ERZ651987	327
ERZ651987	328
ERZ651987	361
ERZ651987	362
ERZ651988	201
ERZ651988	202
ERZ651988	203
ERZ651988	227
ERZ651988	228
ERZ651988	230
ERZ651988	251
ERZ651988	253
ERZ651988	254
ERZ651989	84
ERZ651989	87
ERZ651989	90
ERZ651990	101
ERZ651990	128
ERZ651990	150
ERZ651990	152
ERZ651990	172
ERZ651990	188
ERZ651990	200
ERZ651990	201
ERZ651990	217
ERZ651990	219
ERZ651990	222
ERZ651990	227
ERZ651991	317
ERZ651991	319
ERZ651991	326
ERZ651991	357
ERZ651991	359
ERZ651991	360
