"name"	"membership"	"in.singleton"	"vertex"	"mean.knn"	"f.state"	"mean.t"	"size"	"scaled.knn"	"is.extremum"	"basin"
"v1"	1	FALSE	1	0.1498621102617	0.941176470588235	5.64705882352941	51	0.00293847275022941	TRUE	1
"v2"	2	TRUE	2	0.235823409889742	1	7	1	0.235823409889742	NA	NA
"v3"	1	FALSE	3	0.142987724173036	0.971428571428571	6.42857142857143	35	0.00408536354780103	FALSE	1
"v4"	1	FALSE	4	0.137326828733667	NA	7.66666666666667	33	0.00416141905253537	FALSE	NA
"v5"	1	FALSE	5	0.160930577757157	1	11	1	0.160930577757157	FALSE	NA
"v6"	1	FALSE	6	0.144283846355803	1	2	1	0.144283846355803	FALSE	NA
"v7"	1	FALSE	7	0.125792868912545	1	7	1	0.125792868912545	FALSE	NA
"v8"	1	FALSE	8	0.102760636716164	1	7	1	0.102760636716164	FALSE	3
"v9"	1	FALSE	9	0.119663036536985	1	4	1	0.119663036536985	FALSE	3
"v10"	1	FALSE	10	0.126588705731055	1	2	1	0.126588705731055	FALSE	1
"v11"	1	FALSE	11	0.114799431051112	1	7	1	0.114799431051112	FALSE	NA
"v12"	1	FALSE	12	0.128117299335041	1	4	1	0.128117299335041	FALSE	NA
"v13"	1	FALSE	13	0.118011365436011	1	10	1	0.118011365436011	FALSE	NA
"v14"	1	FALSE	14	0.116655716957138	1	1	1	0.116655716957138	FALSE	3
"v15"	1	FALSE	15	0.131552939110374	1	4	1	0.131552939110374	FALSE	1
"v16"	1	FALSE	16	0.124373058924887	1	5	1	0.124373058924887	FALSE	3
"v17"	1	FALSE	17	0.124106057900699	1	7	1	0.124106057900699	FALSE	3
"v18"	1	FALSE	18	0.151174397873539	1	2	1	0.151174397873539	FALSE	1
"v19"	1	FALSE	19	0.130260839472739	1	4	1	0.130260839472739	FALSE	NA
"v20"	1	FALSE	20	0.123209215726734	1	4	1	0.123209215726734	FALSE	3
"v21"	1	FALSE	21	0.11471757957549	1	4	1	0.11471757957549	FALSE	3
"v22"	1	FALSE	22	0.13556084947554	1	7	1	0.13556084947554	FALSE	NA
"v23"	1	FALSE	23	0.130055193879001	1	11	1	0.130055193879001	FALSE	NA
"v24"	1	FALSE	24	0.1348701999378	1	5	1	0.1348701999378	FALSE	NA
"v25"	1	FALSE	25	0.126232649509296	1	4	1	0.126232649509296	FALSE	3
"v26"	1	FALSE	26	0.129865164970163	1	4	1	0.129865164970163	FALSE	NA
"v27"	1	FALSE	27	0.132496694182173	1	3	1	0.132496694182173	FALSE	3
"v28"	1	FALSE	28	0.145331137681317	1	6	1	0.145331137681317	FALSE	3
"v29"	1	FALSE	29	0.17058911442975	1	18	1	0.17058911442975	FALSE	NA
"v30"	1	FALSE	30	0.133773813989701	1	6	1	0.133773813989701	FALSE	NA
"v31"	1	FALSE	31	0.117074820923866	0.5	21	2	0.0585374104619331	FALSE	3
"v32"	1	FALSE	32	0.144308404954231	1	10	1	0.144308404954231	FALSE	1
"v33"	1	FALSE	33	0.120461067920684	1	10	1	0.120461067920684	FALSE	NA
"v34"	1	FALSE	34	0.117901666758855	1	7	1	0.117901666758855	FALSE	3
"v35"	1	FALSE	35	0.125555845687791	0	14	1	0.125555845687791	FALSE	3
"v36"	1	FALSE	36	0.114408200530431	NA	9	1	0.114408200530431	FALSE	3
"v37"	1	FALSE	37	0.163107834740287	1	5	1	0.163107834740287	FALSE	1
"v38"	1	FALSE	38	0.127528497553662	1	4	1	0.127528497553662	FALSE	3
"v39"	1	FALSE	39	0.118573100526275	1	10	1	0.118573100526275	FALSE	3
"v40"	1	FALSE	40	0.148753974320283	1	14	1	0.148753974320283	FALSE	NA
"v41"	1	FALSE	41	0.127478295738643	1	8	1	0.127478295738643	FALSE	NA
"v42"	1	FALSE	42	0.138589594773922	1	15	1	0.138589594773922	FALSE	3
"v43"	1	FALSE	43	0.116646517208271	1	10	1	0.116646517208271	FALSE	NA
"v44"	1	FALSE	44	0.160930577757157	1	11	1	0.160930577757157	FALSE	NA
"v45"	1	FALSE	45	0.144283846355803	1	2	1	0.144283846355803	FALSE	NA
"v46"	1	FALSE	46	0.135853199730028	1	4	1	0.135853199730028	FALSE	3
"v47"	1	FALSE	47	0.125792868912545	1	7	1	0.125792868912545	FALSE	NA
"v48"	1	FALSE	48	0.102760636716164	1	7	1	0.102760636716164	FALSE	3
"v49"	1	FALSE	49	0.119663036536985	1	4	1	0.119663036536985	FALSE	3
"v50"	1	FALSE	50	0.114799431051112	1	7	1	0.114799431051112	FALSE	NA
"v51"	1	FALSE	51	0.116655716957138	1	1	1	0.116655716957138	FALSE	3
"v52"	1	FALSE	52	0.124373058924887	1	5	1	0.124373058924887	FALSE	3
"v53"	1	FALSE	53	0.143538098200756	1	12	1	0.143538098200756	FALSE	3
"v54"	1	FALSE	54	0.124106057900699	1	7	1	0.124106057900699	FALSE	3
"v55"	1	FALSE	55	0.123209215726734	1	4	1	0.123209215726734	FALSE	3
"v56"	1	FALSE	56	0.11471757957549	1	4	1	0.11471757957549	FALSE	3
"v57"	1	FALSE	57	0.120822385324653	1	7	1	0.120822385324653	FALSE	3
"v58"	1	FALSE	58	0.130055193879001	1	11	1	0.130055193879001	FALSE	NA
"v59"	1	FALSE	59	0.1348701999378	1	5	1	0.1348701999378	FALSE	NA
"v60"	1	FALSE	60	0.126232649509296	1	4	1	0.126232649509296	FALSE	3
"v61"	1	FALSE	61	0.132496694182173	1	3	1	0.132496694182173	FALSE	3
"v62"	1	FALSE	62	0.145331137681317	1	6	1	0.145331137681317	FALSE	3
"v63"	1	FALSE	63	0.17058911442975	1	18	1	0.17058911442975	FALSE	NA
"v64"	1	FALSE	64	0.133773813989701	1	6	1	0.133773813989701	FALSE	NA
"v65"	1	FALSE	65	0.117074820923866	0.5	21	2	0.0585374104619331	FALSE	3
"v66"	1	FALSE	66	0.13864706748184	1	7	1	0.13864706748184	FALSE	3
"v67"	1	FALSE	67	0.120461067920684	1	10	1	0.120461067920684	FALSE	NA
"v68"	1	FALSE	68	0.117901666758855	1	7	1	0.117901666758855	FALSE	3
"v69"	1	FALSE	69	0.114584315397127	1	7	1	0.114584315397127	FALSE	3
"v70"	1	FALSE	70	0.125555845687791	0	14	1	0.125555845687791	FALSE	3
"v71"	1	FALSE	71	0.114408200530431	NA	9	1	0.114408200530431	FALSE	3
"v72"	1	FALSE	72	0.135279024120437	1	19	1	0.135279024120437	FALSE	3
"v73"	1	FALSE	73	0.136005320168554	1	16	1	0.136005320168554	FALSE	3
"v74"	1	FALSE	74	0.127528497553662	1	4	1	0.127528497553662	FALSE	3
"v75"	1	FALSE	75	0.118573100526275	1	10	1	0.118573100526275	FALSE	3
"v76"	1	FALSE	76	0.127478295738643	1	8	1	0.127478295738643	FALSE	NA
"v77"	1	FALSE	77	0.138589594773922	1	15	1	0.138589594773922	FALSE	3
"v78"	1	FALSE	78	0.122672406943077	NA	8.03030303030303	33	0.00371734566494174	TRUE	3
"v79"	1	FALSE	79	0.1243016091045	1	6.8	20	0.00621508045522498	FALSE	3
"v80"	1	FALSE	80	0.115260059727244	0.95	6.35	20	0.0057630029863622	FALSE	3
"v81"	1	FALSE	81	0.114165033103909	0.9375	8	16	0.00713531456899429	FALSE	3
"v82"	1	FALSE	82	0.112195060322378	0.882352941176471	9.41176470588235	17	0.00659970943072814	FALSE	3
"v83"	1	FALSE	83	0.11292228759591	1	8.14285714285714	14	0.00806587768542215	FALSE	3
"v84"	3	TRUE	84	0.154516446798728	1	3	1	0.154516446798728	NA	NA
"v85"	1	FALSE	85	0.123802582508943	0	17	1	0.123802582508943	FALSE	NA
"v86"	1	FALSE	86	0.114372910479615	1	8.36363636363636	11	0.0103975373163286	FALSE	NA
"v87"	3	TRUE	87	0.154516446798728	1	3	1	0.154516446798728	NA	NA
"v88"	1	FALSE	88	0.123802582508943	0	17	1	0.123802582508943	FALSE	NA
"v89"	1	FALSE	89	0.117828148626185	1	7.125	8	0.0147285185782732	FALSE	NA
"v90"	3	TRUE	90	0.154516446798728	1	3	1	0.154516446798728	NA	NA
"v91"	1	FALSE	91	0.141908686034547	1	1	1	0.141908686034547	FALSE	5
"v92"	1	FALSE	92	0.109072765432304	1	7.33333333333333	3	0.0363575884774348	FALSE	NA
"v93"	1	FALSE	93	0.115947512437252	1	18	1	0.115947512437252	FALSE	5
"v94"	1	FALSE	94	0.141908686034547	1	1	1	0.141908686034547	FALSE	5
"v95"	1	FALSE	95	0.115214434349621	0.8	15.8	15	0.00768096228997471	FALSE	5
"v96"	1	FALSE	96	0.1444550193803	0.86046511627907	5.95348837209302	43	0.00335941905535581	FALSE	1
"v97"	2	TRUE	97	0.235823409889742	1	7	1	0.235823409889742	NA	NA
"v98"	1	FALSE	98	0.137426952731282	0.903225806451613	6.61290322580645	31	0.00443312750746071	FALSE	1
"v99"	1	FALSE	99	0.12963911390264	NA	7.73076923076923	26	0.00498611976548616	FALSE	NA
"v100"	1	FALSE	100	0.125792868912545	1	7	1	0.125792868912545	FALSE	NA
"v101"	1	FALSE	101	0.161587732714323	1	4	1	0.161587732714323	FALSE	3
"v102"	1	FALSE	102	0.102760636716164	1	7	1	0.102760636716164	FALSE	3
"v103"	1	FALSE	103	0.118140786584636	1	15	1	0.118140786584636	FALSE	NA
"v104"	1	FALSE	104	0.126588705731055	1	2	1	0.126588705731055	FALSE	1
"v105"	1	FALSE	105	0.114799431051112	1	7	1	0.114799431051112	FALSE	NA
"v106"	1	FALSE	106	0.128117299335041	1	4	1	0.128117299335041	FALSE	NA
"v107"	1	FALSE	107	0.118011365436011	1	10	1	0.118011365436011	FALSE	NA
