"from"	"to"
1	1
1	2
1	3
1	13
1	15
1	17
1	26
1	28
1	30
2	2
2	3
2	13
2	15
2	17
2	26
2	28
2	30
3	3
3	13
3	15
3	17
3	26
3	28
3	30
4	4
4	5
4	7
4	9
4	17
4	18
4	20
4	21
5	5
5	7
5	9
5	17
5	18
5	20
5	21
6	6
6	8
6	10
7	7
7	9
7	11
7	17
7	18
7	20
7	21
8	8
8	10
9	9
9	11
9	17
9	18
9	20
9	21
10	10
11	11
12	12
12	14
12	16
12	25
12	27
12	29
12	38
12	40
12	41
13	13
13	15
13	17
13	26
13	28
13	30
14	14
14	16
14	25
14	27
14	29
14	38
14	40
14	41
15	15
15	17
15	26
15	28
15	30
16	16
16	17
16	19
16	25
16	27
16	29
16	31
16	32
16	38
16	40
16	41
16	42
16	43
16	44
16	55
16	56
16	57
17	17
17	18
17	19
17	20
17	21
17	26
17	28
17	29
17	30
17	31
17	32
17	42
17	43
17	44
17	55
17	56
17	57
18	18
18	20
18	21
19	19
19	29
19	31
19	32
19	42
19	43
19	44
19	55
19	56
19	57
20	20
20	21
21	21
22	22
22	23
22	24
22	34
22	36
22	38
22	49
22	51
22	53
22	62
22	64
22	66
23	23
23	24
23	34
23	36
23	38
23	49
23	51
23	53
23	62
23	64
23	66
24	24
24	34
24	36
24	38
24	49
24	51
24	53
24	62
24	64
24	66
25	25
25	27
25	29
25	38
25	40
25	41
26	26
26	28
26	30
27	27
27	29
27	38
27	40
27	41
28	28
28	30
29	29
29	31
29	32
29	38
29	40
29	41
29	42
29	43
29	44
29	55
29	56
29	57
30	30
31	31
31	32
31	42
31	43
31	44
31	55
31	56
31	57
32	32
32	42
32	43
32	44
32	55
32	56
32	57
33	33
33	35
33	37
33	39
33	48
33	50
33	52
33	54
33	61
33	63
33	65
33	67
33	73
33	75
33	77
33	79
34	34
34	36
34	38
34	49
34	51
34	53
34	62
34	64
34	66
35	35
35	37
35	39
35	48
35	50
35	52
35	54
35	61
35	63
35	65
35	67
35	73
35	75
35	77
35	79
36	36
36	38
36	49
36	51
36	53
36	62
36	64
36	66
37	37
37	39
37	48
37	50
37	52
37	54
37	61
37	63
37	65
37	67
37	73
37	75
37	77
37	79
38	38
38	40
38	41
38	49
38	51
38	53
38	62
38	64
38	66
39	39
39	48
39	50
39	52
39	54
39	61
39	63
39	65
39	67
39	73
39	75
39	77
39	79
40	40
40	41
41	41
42	42
42	43
42	44
42	55
42	56
42	57
43	43
43	44
43	55
43	56
43	57
44	44
44	55
44	56
44	57
45	45
45	46
45	47
45	58
45	59
45	60
45	69
45	70
45	72
46	46
46	47
46	58
46	59
46	60
46	69
46	70
46	72
47	47
47	58
47	59
47	60
47	69
47	70
47	72
48	48
48	50
48	52
48	54
48	61
48	63
48	65
48	67
48	73
48	75
48	77
48	79
49	49
49	51
49	53
49	62
49	64
49	66
50	50
50	52
50	54
50	61
50	63
50	65
50	67
50	73
50	75
50	77
50	79
51	51
51	53
51	62
51	64
51	66
52	52
52	54
52	61
52	63
52	65
52	67
52	73
52	75
52	77
52	79
53	53
53	62
53	64
53	66
54	54
54	61
54	63
54	65
54	67
54	73
54	75
54	77
54	79
55	55
55	56
55	57
56	56
56	57
57	57
58	58
58	59
58	60
58	69
58	70
58	72
59	59
59	60
59	69
59	70
59	72
60	60
60	69
60	70
60	72
61	61
61	63
61	65
61	67
61	73
61	75
61	77
61	79
62	62
62	64
62	66
63	63
63	65
63	67
63	73
63	75
63	77
63	79
64	64
64	66
64	68
64	76
64	78
64	80
64	89
64	90
64	91
65	65
65	67
65	73
65	75
65	77
65	79
66	66
66	68
66	76
66	78
66	80
66	89
66	90
66	91
67	67
67	73
67	75
67	77
67	79
68	68
68	76
68	78
68	80
68	89
68	90
68	91
69	69
69	70
69	72
70	70
70	72
71	71
71	72
71	74
71	76
71	83
71	85
71	87
71	88
71	96
71	98
71	100
71	101
72	72
72	74
72	76
72	83
72	85
72	87
72	88
72	96
72	98
72	100
72	101
73	73
73	75
73	77
73	79
74	74
74	76
74	83
74	85
74	87
74	88
74	96
74	98
74	100
74	101
75	75
75	77
75	79
76	76
76	78
76	80
76	83
76	85
76	87
76	88
76	89
76	90
76	91
76	96
76	98
76	100
76	101
77	77
77	79
78	78
78	80
78	89
78	90
78	91
79	79
80	80
80	89
80	90
80	91
81	81
81	82
81	84
81	86
81	93
81	95
81	97
81	99
81	108
81	110
81	112
81	113
82	82
82	84
82	86
82	93
82	95
82	97
82	99
82	108
82	110
82	112
82	113
83	83
83	85
83	87
83	88
83	96
83	98
83	100
83	101
84	84
84	86
84	93
84	95
84	97
84	99
84	108
84	110
84	112
84	113
85	85
85	87
85	88
85	96
85	98
85	100
85	101
86	86
86	93
86	95
86	97
86	99
86	108
86	110
86	112
86	113
87	87
87	88
87	96
87	98
87	100
87	101
88	88
88	96
88	98
88	100
88	101
89	89
89	90
89	91
90	90
90	91
91	91
92	92
92	94
92	96
92	106
92	109
92	111
92	118
92	120
92	122
93	93
93	95
93	97
93	99
93	108
93	110
93	112
93	113
94	94
94	96
94	106
94	109
94	111
94	118
94	120
94	122
95	95
95	97
95	99
95	108
95	110
95	112
95	113
96	96
96	98
96	100
96	101
96	106
96	109
96	111
96	118
96	120
96	122
97	97
97	99
97	108
97	110
97	112
97	113
98	98
98	100
98	101
99	99
99	108
99	110
99	112
99	113
100	100
100	101
101	101
102	102
102	103
102	104
102	105
102	114
102	115
102	116
102	117
102	123
102	124
102	125
102	126
102	130
102	131
102	132
102	133
103	103
103	104
103	105
103	114
103	115
103	116
103	117
103	123
103	124
103	125
103	126
103	130
103	131
103	132
103	133
104	104
104	105
104	114
104	115
104	116
104	117
104	123
104	124
104	125
104	126
104	130
104	131
104	132
104	133
105	105
105	114
105	115
105	116
105	117
105	123
105	124
105	125
105	126
105	130
105	131
105	132
105	133
106	106
106	109
106	111
106	118
106	120
106	122
107	107
107	109
107	119
107	121
107	128
107	129
107	135
107	136
108	108
108	110
108	112
108	113
109	109
109	111
109	118
109	119
109	120
109	121
109	122
109	128
109	129
109	135
109	136
110	110
110	112
110	113
111	111
111	118
111	120
111	122
112	112
112	113
113	113
114	114
114	115
114	116
114	117
114	123
114	124
114	125
114	126
114	130
114	131
114	132
114	133
115	115
115	116
115	117
115	123
115	124
115	125
115	126
115	130
115	131
115	132
115	133
116	116
116	117
116	123
116	124
116	125
116	126
116	130
116	131
116	132
116	133
117	117
117	123
117	124
117	125
117	126
117	130
117	131
117	132
117	133
118	118
118	120
118	122
119	119
119	121
119	128
119	129
119	135
119	136
120	120
120	122
121	121
121	128
121	129
121	135
121	136
122	122
123	123
123	124
123	125
123	126
123	130
123	131
123	132
123	133
124	124
124	125
124	126
124	130
124	131
124	132
124	133
125	125
125	126
125	130
125	131
125	132
125	133
126	126
126	130
126	131
126	132
126	133
127	127
127	134
127	138
127	139
128	128
128	129
128	135
128	136
129	129
129	135
129	136
130	130
130	131
130	132
130	133
131	131
131	132
131	133
132	132
132	133
133	133
134	134
134	138
134	139
135	135
135	136
136	136
137	137
137	142
137	148
138	138
139	139
140	140
140	141
140	144
140	146
141	141
141	144
141	146
142	142
142	148
143	143
143	145
143	147
144	144
144	146
145	145
145	147
146	146
147	147
148	148
