point	vertex
B1-1	45
B1-1	46
B1-1	47
B1-1	58
B1-1	59
B1-1	60
B1-1	69
B1-1	70
B1-1	72
B1-2	22
B1-2	23
B1-2	24
B1-2	34
B1-2	36
B1-2	38
B1-2	49
B1-2	51
B1-2	53
B1-2	62
B1-2	64
B1-2	66
B1-3	81
B1-3	82
B1-3	84
B1-3	86
B1-3	93
B1-3	95
B1-3	97
B1-3	99
B1-3	108
B1-3	110
B1-3	112
B1-3	113
B1-4	1
B1-4	2
B1-4	3
B1-4	13
B1-4	15
B1-4	17
B1-4	26
B1-4	28
B1-4	30
B2-1	127
B2-1	134
B2-1	138
B2-2	127
B2-2	134
B2-2	139
B2-3	102
B2-3	103
B2-3	104
B2-3	105
B2-3	114
B2-3	115
B2-3	116
B2-3	117
B2-3	123
B2-3	124
B2-3	125
B2-3	126
B2-3	130
B2-3	131
B2-3	132
B2-3	133
B2-4	140
B2-4	141
B2-4	144
B2-4	146
B3-1	4
B3-1	5
B3-1	7
B3-1	9
B3-1	17
B3-1	18
B3-1	20
B3-1	21
B3-2	71
B3-2	72
B3-2	74
B3-2	76
B3-2	83
B3-2	85
B3-2	87
B3-2	88
B3-2	96
B3-2	98
B3-2	100
B3-2	101
B3-3	12
B3-3	14
B3-3	16
B3-3	25
B3-3	27
B3-3	29
B3-3	38
B3-3	40
B3-3	41
B3-4	92
B3-4	94
B3-4	96
B3-4	106
B3-4	109
B3-4	111
B3-4	118
B3-4	120
B3-4	122
C1	143
C1	145
C1	147
C2	146
C3	137
C3	142
C3	148
F1	64
F1	66
F1	68
F1	76
F1	78
F1	80
F1	89
F1	90
F1	91
F2	107
F2	109
F2	119
F2	121
F2	128
F2	129
F2	135
F2	136
F3	16
F3	17
F3	19
F3	29
F3	31
F3	32
F3	42
F3	43
F3	44
F3	55
F3	56
F3	57
F4	33
F4	35
F4	37
F4	39
F4	48
F4	50
F4	52
F4	54
F4	61
F4	63
F4	65
F4	67
F4	73
F4	75
F4	77
F4	79
G1	7
G1	9
G1	11
H3	6
H3	8
H3	10
