"name"	"membership"	"in.singleton"	"vertex"	"mean.knn"	"f.state"	"mean.t"	"size"	"scaled.knn"	"is.extremum"	"basin"
"v1"	1	FALSE	1	0.292644843511573	1	5	1	0.292644843511573	FALSE	2
"v2"	1	FALSE	2	0.292644843511573	1	5	1	0.292644843511573	FALSE	2
"v3"	1	FALSE	3	0.292644843511573	1	5	1	0.292644843511573	FALSE	2
"v4"	1	FALSE	4	0.274255702483796	1	5	1	0.274255702483796	FALSE	2
"v5"	1	FALSE	5	0.274255702483796	1	5	1	0.274255702483796	FALSE	2
"v6"	2	TRUE	6	0.451785174689062	1	0	1	0.451785174689062	NA	NA
"v7"	1	FALSE	7	0.337585868066452	1	2.5	2	0.168792934033226	FALSE	2
"v8"	2	TRUE	8	0.451785174689062	1	0	1	0.451785174689062	NA	NA
"v9"	1	FALSE	9	0.337585868066452	1	2.5	2	0.168792934033226	FALSE	2
"v10"	2	TRUE	10	0.451785174689062	1	0	1	0.451785174689062	NA	NA
"v11"	1	FALSE	11	0.400916033649109	1	0	1	0.400916033649109	FALSE	2
"v12"	1	FALSE	12	0.168027955076218	1	5	1	0.168027955076218	FALSE	2
"v13"	1	FALSE	13	0.292644843511573	1	5	1	0.292644843511573	FALSE	2
"v14"	1	FALSE	14	0.168027955076218	1	5	1	0.168027955076218	FALSE	2
"v15"	1	FALSE	15	0.292644843511573	1	5	1	0.292644843511573	FALSE	2
"v16"	1	FALSE	16	0.186746366415753	1	2.5	2	0.0933731832078763	FALSE	2
"v17"	1	FALSE	17	0.257455107916885	1	3.33333333333333	3	0.0858183693056285	TRUE	2
"v18"	1	FALSE	18	0.274255702483796	1	5	1	0.274255702483796	FALSE	2
"v19"	1	FALSE	19	0.205464777755288	1	0	1	0.205464777755288	FALSE	2
"v20"	1	FALSE	20	0.274255702483796	1	5	1	0.274255702483796	FALSE	2
"v21"	1	FALSE	21	0.274255702483796	1	5	1	0.274255702483796	FALSE	2
