point	vertex
ERR2493560	410
ERR2493560	413
ERR2493560	420
ERR2493560	421
ERR2493560	443
ERR2493560	445
ERR2493560	446
ERR2493560	449
ERR2493561	335
ERR2493561	341
ERR2493561	347
ERR2493561	364
ERR2493561	371
ERR2493561	374
ERR2493561	394
ERR2493561	401
ERR2493561	405
ERR2493562	141
ERR2493562	142
ERR2493562	143
ERR2493562	176
ERR2493562	178
ERR2493562	180
ERR2493562	219
ERR2493562	220
ERR2493562	221
ERR2493563	196
ERR2493563	202
ERR2493563	210
ERR2493563	237
ERR2493563	240
ERR2493563	242
ERR2493563	271
ERR2493563	275
ERR2493563	276
ERR2493564	1
ERR2493564	2
ERR2493564	14
ERR2493564	22
ERR2493565	362
ERR2493565	363
ERR2493565	365
ERR2493565	390
ERR2493565	393
ERR2493565	395
ERR2493565	432
ERR2493565	434
ERR2493565	435
ERR2493566	1
ERR2493567	45
ERR2493567	46
ERR2493567	76
ERR2493567	78
ERR2493567	108
ERR2493567	110
ERR2493568	37
ERR2493568	39
ERR2493568	40
ERR2493568	41
ERR2493568	64
ERR2493568	66
ERR2493568	68
ERR2493568	70
ERR2493568	88
ERR2493568	92
ERR2493568	97
ERR2493568	100
ERR2493569	447
ERR2493569	450
ERR2493569	454
ERR2493569	456
ERR2493570	267
ERR2493570	272
ERR2493570	275
ERR2493570	307
ERR2493570	308
ERR2493570	312
ERR2493570	342
ERR2493570	348
ERR2493570	351
ERR2493571	144
ERR2493571	145
ERR2493571	146
ERR2493571	181
ERR2493571	182
ERR2493571	184
ERR2493571	223
ERR2493571	225
ERR2493571	228
ERR2493572	139
ERR2493572	174
ERR2493572	211
ERR2493573	224
ERR2493573	225
ERR2493573	228
ERR2493573	231
ERR2493573	251
ERR2493573	252
ERR2493573	255
ERR2493573	258
ERR2493573	286
ERR2493573	287
ERR2493573	290
ERR2493573	294
ERR2493573	316
ERR2493573	318
ERR2493573	321
ERR2493573	326
ERR2493574	243
ERR2493574	277
ERR2493574	313
ERR2493574	353
ERR2493575	217
ERR2493575	219
ERR2493575	220
ERR2493575	222
ERR2493575	244
ERR2493575	246
ERR2493575	248
ERR2493575	250
ERR2493575	279
ERR2493575	281
ERR2493575	283
ERR2493575	285
ERR2493576	203
ERR2493576	211
ERR2493576	240
ERR2493576	242
ERR2493576	275
ERR2493576	276
ERR2493577	252
ERR2493577	255
ERR2493577	258
ERR2493577	287
ERR2493577	290
ERR2493577	294
ERR2493577	318
ERR2493577	321
ERR2493577	326
ERR2493577	357
ERR2493577	359
ERR2493577	361
ERR2493578	445
ERR2493578	446
ERR2493578	451
ERR2493578	454
ERR2493579	334
ERR2493579	336
ERR2493579	343
ERR2493579	363
ERR2493579	366
ERR2493579	372
ERR2493579	393
ERR2493579	396
ERR2493579	402
ERR2493579	434
ERR2493579	435
ERR2493579	436
ERR2493580	322
ERR2493580	327
ERR2493580	332
ERR2493580	359
ERR2493580	361
ERR2493580	362
ERR2493580	386
ERR2493580	388
ERR2493580	390
ERR2493581	304
ERR2493581	307
ERR2493581	309
ERR2493581	336
ERR2493581	343
ERR2493581	349
ERR2493581	366
ERR2493581	372
ERR2493581	375
ERR2493581	396
ERR2493581	402
ERR2493581	406
ERR2493582	288
ERR2493582	291
ERR2493582	295
ERR2493582	319
ERR2493582	323
ERR2493582	328
ERR2493582	357
ERR2493582	359
ERR2493582	361
ERR2493583	106
ERR2493583	108
ERR2493583	110
ERR2493583	131
ERR2493583	134
ERR2493583	139
ERR2493583	161
ERR2493583	167
ERR2493583	174
ERR2493584	1
ERR2493584	2
ERR2493584	15
ERR2493584	23
ERR2493585	193
ERR2493585	197
ERR2493585	204
ERR2493585	235
ERR2493585	238
ERR2493585	240
ERR2493585	268
ERR2493585	273
ERR2493585	275
ERR2493586	62
ERR2493586	65
ERR2493586	67
ERR2493586	86
ERR2493586	89
ERR2493586	93
ERR2493586	115
ERR2493586	117
ERR2493586	120
ERR2493587	440
ERR2493587	443
ERR2493587	445
ERR2493588	269
ERR2493588	274
ERR2493588	275
ERR2493588	307
ERR2493588	310
ERR2493588	312
ERR2493588	344
ERR2493588	350
ERR2493588	352
ERR2493589	1
ERR2493589	2
ERR2493589	3
ERR2493589	16
ERR2493589	24
ERR2493589	29
ERR2493589	48
ERR2493589	51
ERR2493589	54
ERR2493589	80
ERR2493589	82
ERR2493589	84
ERR2493590	168
