"ID"	"B1.1"	"B1.2"	"B1.3"	"B1.4"	"B2.1"	"B2.2"	"B2.3"	"B2.4"	"B3.1"	"B3.2"	"B3.3"	"B3.4"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"D1"	"D2"	"D3"	"D4"	"E1"	"E2"	"E3"	"E4"	"F1"	"F2"	"F3"	"F4"	"G1"	"G2"	"G3"	"G4"	"H1"	"H2"	"H3"	"H4"	"K1.1"	"K1.2"	"K1.3"	"K1.4"	"K2.1"	"K2.2"	"K2.3"	"K2.4"	"K3.1"	"K3.2"	"K3.3"	"K3.4"	"K4"	"L1"	"L2"	"L3"	"L4"
"Seq1"	16	14	14	54	34	98	244	176	0	172	123	233	0	13	94	23	12	15	0	0	10	0	0	0	18	12	175	108	32	112	0	0	0	19	12	0	34	0	0	25	25	0	21	161	3	0	0	53	11	0	112	12	11	5	0
"Seq2"	40	30	51	128	74	92	70	35	53	275	0	106	0	13	7	0	16	47	14	0	0	8	0	0	9	0	165	0	0	75	0	0	0	8	19	0	0	0	0	0	16	0	77	93	0	0	0	27	42	0	113	13	0	23	0
"Seq3"	19	18	36	41	22	81	37	125	48	82	71	176	0	10	74	21	13	0	0	0	0	0	0	0	7	19	94	51	0	69	0	0	0	9	11	0	0	0	0	0	14	0	51	128	0	3	3	0	0	0	104	3	0	7	0
"Seq4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	82	0	489	189	167	50	0	0	10	40	0	0	0	72	0
"Seq5"	0	0	0	86	65	0	93	75	0	0	63	186	0	0	0	38	24	0	0	0	0	0	0	0	0	0	76	22	8	0	0	0	0	0	0	0	0	0	0	18	14	0	45	68	0	17	0	0	26	0	172	0	0	0	0
"Seq6"	0	0	0	0	0	0	0	0	0	0	0	0	0	24	42	60	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	49	32	162	0	133	218	24	0	0	0	0	0	0	193	35	63	21
"Seq7"	80	0	0	92	0	0	94	0	149	67	0	54	0	0	0	39	0	59	0	0	8	0	9	0	0	0	65	0	62	38	0	0	0	0	0	0	0	0	0	0	0	30	0	37	0	0	0	37	0	86	31	0	0	0	0
"Seq8"	0	0	11	0	8	78	98	66	0	42	77	80	0	0	20	0	0	0	0	0	0	2	0	11	0	0	86	68	0	43	0	0	0	0	17	0	27	0	0	24	6	0	25	28	0	0	0	28	5	0	33	0	0	0	0
"Seq9"	0	0	0	0	0	0	0	0	0	0	0	0	0	36	40	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	74	222	124
"Seq10"	0	0	0	0	0	0	260	95	81	0	0	126	14	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	49	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	27	37	0	0	0	0
"Seq11"	0	0	0	37	0	0	67	60	90	0	0	83	8	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	29	32	0	0	0	0	0	0	24	0	0	13	0	29	0	0	0	0	0	78	23	29	51	0	0	0	0
"Seq12"	0	0	0	0	0	0	0	0	0	0	0	0	20	46	37	53	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	95	94	45
"Seq13"	0	0	0	0	0	0	0	0	0	0	0	0	0	10	24	30	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	56	0	77	0	165	112	18	21	26	0	0	0	0	11	8	0	0
"Seq14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	321	141	37	17	12	0	0	0	0	0	0	0	0
"Seq15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	31	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	85	51	68	61	0	0	0	50	0	56	0	33	38	0	0
"Seq16"	0	0	0	54	0	0	238	59	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0
"Seq17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	30	76	0	152	121	51	19	0	27	0	0	0	0	0	0	0
"Seq18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	153	28	198	67	0	24	0	0	0	0	0	0	0	0	0
"Seq19"	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	170	112	16	13	0	0	0	0	0	29	7	43	0
"Seq20"	0	0	0	0	0	0	81	0	0	17	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	171	0	0	0	0
"Seq21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	44	29	127	40	90	0	7	21	0	65	0	0	0	0	0
"Seq22"	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	11	112	81	0	0	75	0	0	0	0	0	11	53	31
"Seq23"	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	28	0	0	0	0	9	27	13	0	0	12	0	0	39	0	0	0	0	0	0	0	0	0	0	39	0	80	0
"Seq24"	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Seq25"	0	0	0	0	0	0	0	0	0	0	0	0	0	83	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	56	29
"Seq26"	0	0	29	42	16	14	102	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	29	0	13	0	0	0	0	0	0	0	14	0	0	0	0	18	13	0	0	0	9	0	0	7	0	0	0	0
"Seq27"	0	0	0	0	0	0	0	0	0	0	0	0	4	20	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	4	0	0	10	0	41	12	87	49	3	0	5	0	3	14	0	32	0	13	23
"Seq28"	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Seq29"	0	5	0	37	0	17	41	13	0	10	21	58	0	0	10	0	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0	71	0	0	0	0
"Seq30"	0	8	6	0	0	0	0	12	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	6	0	10	0	45	0	0	0	0	0	7	5	0	0	0	0	9	0	0	17	0	0	0	0	0	0	0	76	0	6	0	0
"Seq31"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
"Seq32"	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	37	0	0	0	0	0	15	0	0	0	0	33	15	0	46	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	36	19
"Seq33"	0	0	0	0	17	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Seq34"	0	0	0	0	0	0	0	0	0	114	71	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Seq35"	0	24	0	25	0	0	0	0	0	62	30	27	0	0	0	0	0	0	0	0	0	0	0	0	0	7	57	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	12	0	0	0	0	46	0	0	0	11	0	0	0
"Seq36"	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Seq37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	85	0	0	0	91	0	0	56	0	0	0	0	0	0	0	0
"Seq38"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	26	0	10	0
"Seq39"	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Seq40"	0	0	0	0	0	0	16	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Seq41"	0	0	0	0	0	0	0	0	0	0	0	0	23	84	34	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	45	0
"Seq42"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Seq43"	0	0	0	0	0	0	119	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
"Seq44"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	17	0	4
