"ID"	"ERR2493560"	"ERR2493561"	"ERR2493562"	"ERR2493563"	"ERR2493564"	"ERR2493565"	"ERR2493566"	"ERR2493567"	"ERR2493568"	"ERR2493569"	"ERR2493570"	"ERR2493571"	"ERR2493572"	"ERR2493573"	"ERR2493574"	"ERR2493575"	"ERR2493576"	"ERR2493577"	"ERR2493578"	"ERR2493579"	"ERR2493580"	"ERR2493581"	"ERR2493582"	"ERR2493583"	"ERR2493584"	"ERR2493585"	"ERR2493586"	"ERR2493587"	"ERR2493588"	"ERR2493589"	"ERR2493590"	"ERR2493591"	"ERR2493592"	"ERR2493593"	"ERR2493594"	"ERR2493595"	"ERR2493596"	"ERR2493597"	"ERR2493598"	"ERR2493599"	"ERR2493600"	"ERR2493601"	"ERR2493602"	"ERR2493603"	"ERR2493604"	"ERR2493605"	"ERR2493606"	"ERR2493607"	"ERR2493608"	"ERR2493609"	"ERR2493610"	"ERR2493611"	"ERR2493612"	"ERR2493613"	"ERR2493614"	"ERR2493615"	"ERR2493616"	"ERR2493617"	"ERR2493618"	"ERR2493619"	"ERR2493620"	"ERR2493621"	"ERR2493622"	"ERR2493623"	"ERR2493624"	"ERR2493625"	"ERR2493626"	"ERR2493627"	"ERR2493628"	"ERR2493629"	"ERR2493630"	"ERR2493631"	"ERR2493632"	"ERR2493633"	"ERR2493634"	"ERR2493635"	"ERR2493636"	"ERR2493637"	"ERR2493638"	"ERR2493639"	"ERR2493640"	"ERR2493641"	"ERR2493642"	"ERR2493643"	"ERR2493644"	"ERR2493645"	"ERR2493646"	"ERR2493647"	"ERR2493648"	"ERR2493649"	"ERR2493650"	"ERR2493651"	"ERR2493652"
"Seq1"	37	202	97	9994	591	833	814	14155	661	92	5614	1534	9166	217	17318	91	7004	219	33	11514	1584	3360	33	11788	1039	8087	1176	30	2774	448	8407	994	2408	72	10632	419	85	8296	253	1635	159	11405	520	15971	535	42	3956	94	1296	49	1200	470	1449	225	0	2140	0	1103	64	897	1866	110	471	0	41	1018	633	2150	492	617	348	901	0	2316	174	2717	207	327	471	486	624	69	1015	138	288	112	273	143	1461	327	66	53	0
"Seq2"	54	183	89	9540	475	711	709	12809	631	84	5072	1307	8249	188	17185	80	6192	212	0	10831	1425	3236	49	10560	910	7803	1162	27	2615	407	8233	884	2180	57	10051	388	73	7345	230	1427	117	10799	427	15358	478	52	4004	80	1259	57	1085	365	1316	230	21	1957	28	995	25	874	1561	83	478	0	60	926	518	1976	368	541	318	805	12	2416	171	2308	187	257	431	437	514	45	962	97	220	108	269	121	1306	284	64	63	0
"Seq3"	41	101	40	6094	390	463	453	9513	429	60	3252	920	5114	118	11211	57	4069	115	0	7094	925	1891	28	7156	664	4202	607	0	1658	248	4928	475	1354	0	5799	261	69	4383	124	914	118	7011	257	11465	303	23	2211	51	808	0	649	243	728	121	20	1443	36	582	0	649	1350	89	287	0	45	637	380	1284	323	315	239	554	20	1467	108	1707	118	201	285	279	379	43	714	81	213	62	206	99	1051	130	33	47	0
"Seq4"	48	0	1070	118	9792	147	4674	51	779	51	0	146	0	537	0	1557	0	270	0	0	357	0	597	40	10323	79	2485	48	0	5770	43	9427	0	166	25	7305	230	0	84	0	0	0	181	0	0	56	0	68	0	1578	92	1396	99	1159	16	0	49	0	91	0	0	159	0	0	147	191	12081	396	3529	191	2224	1455	28	0	9297	41	4062	66	4478	404	1160	171	426	3278	73	4282	276	367	86	4276	0	0	0
"Seq5"	0	373	171	679	49	68	26	116	0	59	9422	0	4408	210	618	446	2759	291	0	376	0	145	144	2399	153	385	0	0	2768	340	15962	69	961	61	4179	0	83	3314	3193	3219	930	2656	39	449	452	56	143	234	1875	81	154	0	76	0	56	10074	113	5344	116	4096	2585	353	306	0	57	2787	531	286	499	110	122	390	0	8186	36	142	0	110	0	46	533	98	234	67	127	167	1627	326	2189	0	6585	0	11
"Seq6"	0	358	160	687	47	75	0	114	0	55	8684	0	4194	198	551	438	2406	285	0	342	0	143	141	2280	139	370	0	0	2528	320	15179	40	855	39	4078	0	80	3162	3337	2937	853	2509	47	409	388	0	114	196	1804	76	132	0	55	0	41	9594	142	5660	113	5471	2864	434	352	0	69	2675	434	277	422	84	86	346	0	7917	0	133	0	108	0	58	524	66	253	52	106	181	1918	276	1991	0	5855	0	8
"Seq7"	33	0	970	101	8640	132	4403	64	644	67	0	125	0	435	0	1344	0	232	0	57	348	0	530	37	8309	47	1975	0	19	4809	30	6780	0	144	0	6355	182	0	96	0	0	0	185	0	0	137	65	0	0	1282	77	1189	82	996	0	0	37	0	123	0	0	106	0	0	154	163	11223	407	3031	173	2249	1303	0	0	7149	55	3227	84	3999	310	884	138	387	2989	46	3636	278	286	41	4066	0	0	0
"Seq8"	0	186	83	411	0	44	0	84	0	30	5394	0	2505	97	431	233	1525	154	0	235	0	82	83	1421	80	209	0	0	1644	196	9402	0	508	0	2279	0	54	1783	1742	1838	616	1672	32	337	270	0	55	140	1249	46	85	0	50	0	0	6641	107	3114	66	2732	1828	260	192	0	34	1632	335	175	338	65	78	257	0	5105	0	105	0	68	0	62	336	55	158	0	85	126	1154	228	1408	0	2806	0	0
"Seq9"	44	0	522	77	5629	81	2703	36	481	31	0	84	0	277	0	809	0	155	0	0	196	0	297	0	6063	32	1158	0	17	3331	0	5162	0	93	0	4290	152	0	69	0	0	0	91	0	0	30	52	43	0	912	0	793	0	544	0	0	50	0	50	0	0	116	0	0	101	95	7166	249	2023	133	1289	837	24	0	5321	35	2263	39	2793	222	702	122	247	2180	34	2659	166	215	0	2233	0	0	0
"Seq10"	0	173	83	326	0	32	0	73	0	0	4788	0	2056	70	360	195	1281	124	0	188	0	73	75	1281	84	170	0	0	1413	162	8586	21	429	0	2078	0	51	1520	1748	1631	475	1518	30	284	197	0	57	132	995	45	75	0	40	0	0	5888	75	3035	64	3208	1912	244	187	0	41	1475	252	130	257	41	65	176	0	4604	0	81	0	35	0	0	304	38	135	0	65	103	1094	193	1267	0	2501	0	0
"Seq11"	81	36	450	571	2209	141	795	2821	1554	26	2249	344	715	135	145	446	1156	391	46	50	92	12	453	147	1324	117	3	16	36	341	118	1686	46	76	143	2646	75	72	721	142	427	409	87	44	411	0	331	177	61	104	148	184	20	15	0	882	42	241	19	566	234	274	103	0	72	792	573	767	523	267	106	723	41	2174	200	745	287	72	95	397	536	80	328	74	4163	113	474	135	498	656	2795	113	3258
"Seq12"	38	84	416	572	2119	101	689	2815	1430	56	2252	287	653	125	155	412	1037	327	0	58	61	14	460	190	1197	135	5	44	30	342	155	1531	58	60	174	2309	66	64	716	104	370	383	81	64	352	0	351	147	55	99	164	161	13	17	0	857	50	219	23	560	229	240	75	0	50	813	511	699	461	227	125	716	30	2161	194	700	249	52	103	319	422	73	329	64	3847	101	500	143	468	583	2574	100	2958
"Seq13"	0	13	898	152	2305	0	1819	128	302	0	151	1215	180	484	79	1843	144	743	0	52	584	15	677	93	2061	57	975	0	27	1710	307	2499	56	533	73	2275	0	29	625	9	997	182	1138	48	1003	0	27	1666	47	490	18	388	40	438	0	54	724	351	1242	123	53	409	467	0	31	97	2434	133	569	335	344	930	0	107	1541	60	617	45	685	590	214	52	44	522	35	684	91	210	60	883	37	40	45
"Seq14"	31	0	1606	0	1994	0	1505	11	79	0	295	2552	47	448	15	2280	22	553	0	45	1882	11	253	0	1190	0	95	0	0	496	0	941	0	40	0	705	96	0	971	0	77	186	2868	45	652	42	0	8439	0	580	0	21	0	0	0	18	1596	71	1278	35	0	1650	92	0	39	56	1601	78	303	232	62	114	24	67	1096	19	304	0	33	0	219	69	139	754	26	593	59	470	53	166	0	0	0
"Seq15"	0	0	768	126	2069	0	1618	83	258	0	123	1062	183	400	53	1634	90	601	0	74	481	9	620	79	1820	59	931	0	30	1484	272	2295	59	433	94	2170	0	30	668	10	831	148	1051	52	894	0	26	1540	32	452	0	331	29	385	0	58	568	257	1166	109	53	349	451	0	27	50	2360	119	473	302	317	796	0	82	1317	83	462	48	660	512	162	44	67	473	26	569	106	185	66	736	54	43	37
"Seq16"	0	0	1530	16	1870	16	1349	0	44	0	270	2418	41	454	21	2075	35	505	0	44	1512	0	265	0	1179	0	116	0	0	554	0	859	0	46	0	745	96	0	980	0	81	115	3175	37	583	0	0	7774	0	858	0	40	0	11	0	32	1235	57	1142	33	0	1335	80	0	31	64	1534	78	248	221	56	108	21	61	1026	0	224	0	22	0	185	73	127	716	0	505	68	378	44	158	0	0	0
"Seq17"	0	0	113	54	0	0	69	62	0	0	1511	1468	1483	333	225	858	645	776	0	638	432	99	117	423	329	282	474	0	53	871	1072	194	337	1687	266	156	76	332	1349	145	511	1415	477	279	578	0	0	1047	84	45	117	0	66	62	0	295	273	676	26	681	628	311	152	0	0	341	138	63	145	138	96	154	0	891	0	0	0	81	183	0	152	39	523	172	481	160	581	194	165	679	2241	388	1648
"Seq18"	0	0	139	37	0	0	87	58	0	0	1400	1356	1250	302	169	745	584	671	0	618	453	105	108	382	312	289	466	0	42	850	1123	214	275	1515	273	118	81	347	1354	149	455	1438	456	283	542	0	0	987	74	24	93	0	67	50	0	268	230	691	35	725	573	286	171	0	26	318	139	74	149	98	122	129	0	926	0	0	0	60	171	0	131	32	495	117	465	140	555	192	130	671	1984	386	1466
