study_accession	sample_accession	analysis_accession	analysis_type	tax_id	scientific_name	submitted_ftp
PRJEB26925	SAMN05827076	ERZ651938	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651938/ERZ651938.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651938/SRR4408285.fasta.gz
PRJEB26925	SAMN05827006	ERZ651939	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651939/SRR4408132.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651939/ERZ651939.md5
PRJEB26925	SAMN05827185	ERZ651940	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651940/SRR4408122.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651940/ERZ651940.md5
PRJEB26925	SAMN05827012	ERZ651941	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651941/ERZ651941.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651941/SRR4408198.fasta.gz
PRJEB26925	SAMN05827148	ERZ651942	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651942/SRR4408073.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651942/ERZ651942.md5
PRJEB26925	SAMN05827138	ERZ651943	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651943/SRR4408062.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651943/ERZ651943.md5
PRJEB26925	SAMN05827173	ERZ651944	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651944/SRR4408100.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651944/ERZ651944.md5
PRJEB26925	SAMN05827108	ERZ651945	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651945/ERZ651945.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651945/SRR4408029.fasta.gz
PRJEB26925	SAMN05827248	ERZ651946	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651946/SRR4408191.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651946/ERZ651946.md5
PRJEB26925	SAMN05827154	ERZ651947	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651947/ERZ651947.md5;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651947/SRR4408079.fasta.gz
PRJEB26925	SAMN05827027	ERZ651948	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651948/SRR4408231.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651948/ERZ651948.md5
PRJEB26925	SAMN05827041	ERZ651949	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651949/SRR4408246.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651949/ERZ651949.md5
PRJEB26925	SAMN05827197	ERZ651950	SEQUENCE_ASSEMBLY	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651950/SRR4408135.fasta.gz;ftp.sra.ebi.ac.uk/vol1/ERZ651/ERZ651950/ERZ651950.md5
