Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR2493560,b1n2_ROR,AMPLICON,502,57740040,PRJEB20603,SAMEA1045840,31100570,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b1n2,ERC000011,2018-04-03,2018-11-16,ERX2512913,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045840,ERS2352190,ERS2352190,ERP022772,Mother ramet root sample
ERR2493561,b1n2r01s,AMPLICON,502,26379598,PRJEB20603,SAMEA1045841,14936544,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype b1n2,ERC000011,2018-04-03,2018-11-16,ERX2512914,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045841,ERS2352191,ERS2352191,ERP022772,First internode on the first stolon of the mother ramet
ERR2493562,b1n2_sto1_r1r,AMPLICON,502,37008444,PRJEB20603,SAMEA1045842,19202277,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b1n2,ERC000011,2018-04-03,2018-11-16,ERX2512915,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045842,ERS2352192,ERS2352192,ERP022772,First daughter ramet roots on the first stolon
ERR2493563,b1n2sto1r1s,AMPLICON,502,55167290,PRJEB20603,SAMEA1045843,28635334,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype b1n2,ERC000011,2018-04-03,2018-11-16,ERX2512916,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045843,ERS2352193,ERS2352193,ERP022772,Internode of the first daughter ramet on the first stolon
ERR2493564,b1n2sto1_r2r,AMPLICON,502,113132728,PRJEB20603,SAMEA1045844,58604330,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b1n2,ERC000011,2018-04-03,2018-11-16,ERX2512917,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045844,ERS2352194,ERS2352194,ERP022772,Second daughter ramet roots on the first stolon
ERR2493565,b1n2r02s,AMPLICON,502,36221308,PRJEB20603,SAMEA1045845,19632492,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype b1n2,ERC000011,2018-04-03,2018-11-16,ERX2512918,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045845,ERS2352195,ERS2352195,ERP022772,First Internode on the second stolon of the mother ramet
ERR2493566,b1n2_sto2_r1r,AMPLICON,502,38430610,PRJEB20603,SAMEA1045846,19844707,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b1n2,ERC000011,2018-04-03,2018-11-16,ERX2512919,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045846,ERS2352196,ERS2352196,ERP022772,First daughter ramet roots on the second stolon
ERR2493567,b1n2sto2r1s,AMPLICON,502,64391038,PRJEB20603,SAMEA1045847,32335305,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",internode sample for the ecotype b1n2,ERC000011,2018-04-03,2018-11-16,ERX2512920,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045847,ERS2352197,ERS2352197,ERP022772,Internode of the first daughter ramet on the second stolon
ERR2493568,b1n2_sto2_r2r,AMPLICON,502,34993918,PRJEB20603,SAMEA1045848,18868147,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b1n2,ERC000011,2018-04-03,2018-11-16,ERX2512921,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045848,ERS2352198,ERS2352198,ERP022772,Second daughter ramet roots on the second stolon
ERR2493569,b2n1R0R,AMPLICON,502,56016172,PRJEB20603,SAMEA1045849,31079566,CNRS AND UNIVERSITY OF RENNES 1,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",root sample for the ecotype b2n1,ERC000011,2018-04-03,2018-11-16,ERX2512922,CNRS and university of Rennes 1,CNRS and university of Rennes 1,2018-04-03T17:03:16Z,2018-04-03T11:06:05Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,GENOMIC,Glechoma hederacea,ILLUMINA,2018-04-04T00:00:00Z,SAMEA1045849,ERS2352199,ERS2352199,ERP022772,Mother ramet root sample
